Id,Rol,Sexo,Edad,Cantidad víctimas,Fecha,Año,Mes,Día,Hora completa,Hora,Tipo de calle,Calle,Cruce,Lugar del hecho,Comuna,XY (CABA),Latitud,Longitud,Participantes,Víctima,Acusado,Rango etario
2016-0001,CONDUCTOR,MASCULINO,19,1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,PIEDRA BUENA AV.,Si,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,Point (98896.78238426 93532.43437792),-34.68757022,-58.47533969,MOTO-AUTO,MOTO,AUTO,JOVENES
2016-0002,CONDUCTOR,MASCULINO,70,1,2016-01-02,2016,1,2,01:15:00,1,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,Point (95832.05571093 95505.41641999),-34.66977709,-58.50877521,AUTO-PASAJEROS,AUTO,PASAJEROS,ADULTOS MAYORES
2016-0003,CONDUCTOR,MASCULINO,30,1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,ENTRE RIOS AV.,No,ENTRE RIOS AV. 2034,1,Point (106684.29090040 99706.57687843),-34.63189362,-58.39040293,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0004,CONDUCTOR,MASCULINO,18,1,2016-01-10,2016,1,10,00:00:00,0,AVENIDA,LARRAZABAL AV.,Si,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,Point (99840.65224780 94269.16534422),-34.68092974,-58.46503904,MOTO-SD,MOTO,SD,JOVENES
2016-0005,CONDUCTOR,MASCULINO,29,1,2016-01-21,2016,1,21,05:20:00,5,AVENIDA,SAN JUAN AV.,Si,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,Point (106980.32827929 100752.16915795),-34.62246630,-58.38718297,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS
2016-0008,CONDUCTOR,MASCULINO,30,1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,27 DE FEBRERO AV.,Si,27 DE FEBRERO AV. y ESCALADA AV.,8,Point (101721.59002217 93844.25656649),-34.68475866,-58.44451316,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,ADULTOS
2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,29,1,2016-01-24,2016,1,24,19:10:00,19,CALLE,NOGOYA,Si,"NOGOYA y GONZALEZ, JOAQUIN V.",11,Point (96545.87592078 102330.67262199),-34.60825440,-58.50095869,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0010,CONDUCTOR,MASCULINO,18,1,2016-01-29,2016,1,29,15:20:00,15,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,Point (95832.05571093 95505.41641999),-34.66977709,-58.50877521,MOTO-AUTO,MOTO,AUTO,JOVENES
2016-0012,CONDUCTOR,MASCULINO,22,1,2016-02-08,2016,2,8,01:20:00,1,AVENIDA,BELGRANO AV.,Si,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,Point (107595.35084333 101797.50052813),-34.61303893,-58.38048577,MOTO-CARGAS,MOTO,CARGAS,JOVENES
2016-0013,PEATON,MASCULINO,16,1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,ENTRE RIOS AV.,No,ENTRE RIOS AV. 1366,1,Point (106616.41069662 100496.44662323),-34.62477387,-58.39114932,PEATON-AUTO,PEATON,AUTO,JOVENES
